country,metric,unit,date,value,year_month,metric_std
감비아,수입금액,천불,2024-08-01,405,2024-08,import_value
감비아,무역수지,천불,2024-08-01,-144,2024-08,trade_balance
감비아,수출금액,천불,2024-09-01,302,2024-09,export_value
감비아,수입금액,천불,2024-09-01,715,2024-09,import_value
감비아,무역수지,천불,2024-09-01,-412,2024-09,trade_balance
감비아,수출금액,천불,2024-10-01,480,2024-10,export_value
감비아,수입금액,천불,2024-10-01,436,2024-10,import_value
감비아,무역수지,천불,2024-10-01,45,2024-10,trade_balance
감비아,수출금액,천불,2024-11-01,269,2024-11,export_value
감비아,수입금액,천불,2024-11-01,457,2024-11,import_value
감비아,무역수지,천불,2024-11-01,-188,2024-11,trade_balance
감비아,수출금액,천불,2024-12-01,216,2024-12,export_value
감비아,수입금액,천불,2024-12-01,456,2024-12,import_value
감비아,무역수지,천불,2024-12-01,-240,2024-12,trade_balance
감비아,수출금액,천불,2025-01-01,257,2025-01,export_value
감비아,수입금액,천불,2025-01-01,877,2025-01,import_value
감비아,무역수지,천불,2025-01-01,-619,2025-01,trade_balance
감비아,수출금액,천불,2025-02-01,445,2025-02,export_value
감비아,수입금액,천불,2025-02-01,714,2025-02,import_value
감비아,무역수지,천불,2025-02-01,-269,2025-02,trade_balance
감비아,수출금액,천불,2025-03-01,170,2025-03,export_value
감비아,수입금액,천불,2025-03-01,360,2025-03,import_value
감비아,무역수지,천불,2025-03-01,-190,2025-03,trade_balance
감비아,수출금액,천불,2025-04-01,182,2025-04,export_value
감비아,수입금액,천불,2025-04-01,924,2025-04,import_value
감비아,무역수지,천불,2025-04-01,-743,2025-04,trade_balance
감비아,수출금액,천불,2025-05-01,231,2025-05,export_value
감비아,수입금액,천불,2025-05-01,1627,2025-05,import_value
감비아,무역수지,천불,2025-05-01,-1397,2025-05,trade_balance
감비아,수출금액,천불,2025-06-01,191,2025-06,export_value
감비아,수입금액,천불,2025-06-01,917,2025-06,import_value
감비아,무역수지,천불,2025-06-01,-726,2025-06,trade_balance
감비아,수출금액,천불,2025-07-01,311,2025-07,export_value
감비아,수입금액,천불,2025-07-01,734,2025-07,import_value
감비아,무역수지,천불,2025-07-01,-423,2025-07,trade_balance
감비아,수출금액,천불,2025-08-01,305,2025-08,export_value
감비아,수입금액,천불,2025-08-01,1080,2025-08,import_value
감비아,무역수지,천불,2025-08-01,-775,2025-08,trade_balance
감비아,수출금액,천불,2025-09-01,597,2025-09,export_value
감비아,수입금액,천불,2025-09-01,299,2025-09,import_value
감비아,무역수지,천불,2025-09-01,298,2025-09,trade_balance
감비아,수출금액,천불,2025-10-01,285,2025-10,export_value
감비아,수입금액,천불,2025-10-01,199,2025-10,import_value
감비아,무역수지,천불,2025-10-01,86,2025-10,trade_balance
감비아,수출금액,천불,2025-11-01,804,2025-11,export_value
감비아,수입금액,천불,2025-11-01,434,2025-11,import_value
감비아,무역수지,천불,2025-11-01,370,2025-11,trade_balance
감비아,수출금액,천불,2025-12-01,536,2025-12,export_value
감비아,수입금액,천불,2025-12-01,1094,2025-12,import_value
감비아,무역수지,천불,2025-12-01,-558,2025-12,trade_balance
감비아,수출금액,천불,2026-01-01,338,2026-01,export_value
감비아,수입금액,천불,2026-01-01,1293,2026-01,import_value
감비아,무역수지,천불,2026-01-01,-954,2026-01,trade_balance
감비아,수출금액,천불,2026-02-01,334,2026-02,export_value
감비아,수입금액,천불,2026-02-01,994,2026-02,import_value
감비아,무역수지,천불,2026-02-01,-660,2026-02,trade_balance
감비아,수출금액,천불,2026-03-01,553,2026-03,export_value
감비아,수입금액,천불,2026-03-01,1048,2026-03,import_value
감비아,무역수지,천불,2026-03-01,-494,2026-03,trade_balance
감비아,수출금액,천불,2026-04-01,390,2026-04,export_value
감비아,수입금액,천불,2026-04-01,3052,2026-04,import_value
감비아,무역수지,천불,2026-04-01,-2662,2026-04,trade_balance
감비아,수출금액,천불,2026-05-01,736,2026-05,export_value
감비아,수입금액,천불,2026-05-01,1330,2026-05,import_value
감비아,무역수지,천불,2026-05-01,-594,2026-05,trade_balance
감비아,수출금액,천불,2026-06-01,536,2026-06,export_value
감비아,수입금액,천불,2026-06-01,1001,2026-06,import_value
감비아,무역수지,천불,2026-06-01,-466,2026-06,trade_balance
감비아,수출금액,천불,2026-07-01,674,2026-07,export_value
감비아,수입금액,천불,2026-07-01,1670,2026-07,import_value
감비아,무역수지,천불,2026-07-01,-996,2026-07,trade_balance
건지,수출금액,천불,2024-01-01,7,2024-01,export_value
건지,수입금액,천불,2024-01-01,2,2024-01,import_value
건지,무역수지,천불,2024-01-01,5,2024-01,trade_balance
건지,수출금액,천불,2024-02-01,2,2024-02,export_value
건지,수입금액,천불,2024-02-01,2,2024-02,import_value
건지,무역수지,천불,2024-02-01,0,2024-02,trade_balance
건지,수출금액,천불,2024-03-01,7,2024-03,export_value
건지,수입금액,천불,2024-03-01,9,2024-03,import_value
건지,무역수지,천불,2024-03-01,-2,2024-03,trade_balance
건지,수출금액,천불,2024-04-01,0,2024-04,export_value
건지,수입금액,천불,2024-04-01,0,2024-04,import_value
건지,무역수지,천불,2024-04-01,0,2024-04,trade_balance
건지,수출금액,천불,2024-05-01,0,2024-05,export_value
건지,수입금액,천불,2024-05-01,5,2024-05,import_value
건지,무역수지,천불,2024-05-01,-5,2024-05,trade_balance
건지,수출금액,천불,2024-06-01,0,2024-06,export_value
건지,수입금액,천불,2024-06-01,3,2024-06,import_value
건지,무역수지,천불,2024-06-01,-3,2024-06,trade_balance
건지,수출금액,천불,2024-07-01,5,2024-07,export_value
건지,수입금액,천불,2024-07-01,2,2024-07,import_value
건지,무역수지,천불,2024-07-01,2,2024-07,trade_balance
건지,수출금액,천불,2024-08-01,0,2024-08,export_value
건지,수입금액,천불,2024-08-01,2,2024-08,import_value
건지,무역수지,천불,2024-08-01,-2,2024-08,trade_balance
건지,수출금액,천불,2024-09-01,0,2024-09,export_value
건지,수입금액,천불,2024-09-01,0,2024-09,import_value
건지,무역수지,천불,2024-09-01,0,2024-09,trade_balance
건지,수출금액,천불,2024-10-01,3,2024-10,export_value
건지,수입금액,천불,2024-10-01,0,2024-10,import_value
건지,무역수지,천불,2024-10-01,3,2024-10,trade_balance
건지,수출금액,천불,2024-11-01,1,2024-11,export_value
건지,수입금액,천불,2024-11-01,0,2024-11,import_value
건지,무역수지,천불,2024-11-01,1,2024-11,trade_balance
건지,수출금액,천불,2024-12-01,1,2024-12,export_value
건지,수입금액,천불,2024-12-01,0,2024-12,import_value
건지,무역수지,천불,2024-12-01,0,2024-12,trade_balance
건지,수출금액,천불,2025-01-01,0,2025-01,export_value
건지,수입금액,천불,2025-01-01,0,2025-01,import_value
건지,무역수지,천불,2025-01-01,0,2025-01,trade_balance
건지,수출금액,천불,2025-02-01,3,2025-02,export_value
건지,수입금액,천불,2025-02-01,1,2025-02,import_value
건지,무역수지,천불,2025-02-01,1,2025-02,trade_balance
건지,수출금액,천불,2025-03-01,0,2025-03,export_value
건지,수입금액,천불,2025-03-01,0,2025-03,import_value
건지,무역수지,천불,2025-03-01,0,2025-03,trade_balance
건지,수출금액,천불,2025-04-01,1,2025-04,export_value
건지,수입금액,천불,2025-04-01,0,2025-04,import_value
건지,무역수지,천불,2025-04-01,1,2025-04,trade_balance
