"국가별","항목","단위","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월","2025.10 월","2025.11 월","2025.12 월","2026.01 월","2026.02 월","2026.03 월","2026.04 월","2026.05 월","2026.06 월","2026.07 월",
"마샬군도","수입금액[천불]","천불","1","81","58038","5","86","3","80","105","23","299","153","174","57","213","60973","159","85","30054","100","74","196","2","47","41","40","77","5587","58","46","143","4",
"마샬군도","무역수지[천불]","천불","358192","242596","-10588","230726","274024","55135","232","420452","722792","196945","210","44839","737929","355489","61823","179890","277919","120287","227369","612060","480036","462062","652206","1008639","294954","822342","577223","542263","693381","715610","866453",
"튀르키예","수출금액[천불]","천불","795849","807827","919202","912615","750433","602249","717288","644288","673266","743945","704287","737591","662302","852895","833960","853685","682920","682947","884254","705256","1006036","562919","620469","744839","746032","795020","878440","835217","782801","938498","872172",
"튀르키예","수입금액[천불]","천불","132783","82477","112623","135437","97090","118712","95632","122021","103926","92074","97459","86313","108219","84605","133352","127752","145076","94388","127509","102700","188820","148992","157043","149904","167679","141385","133091","196481","134961","165134","174045",
"튀르키예","무역수지[천불]","천불","663066","725351","806579","777178","653343","483537","621656","522267","569340","651871","606828","651279","554083","768290","700608","725933","537844","588559","756746","602556","817216","413927","463426","594935","578353","653634","745349","638737","647841","773364","698127",
"이탈리아","수출금액[천불]","천불","374975","397850","412695","492779","403686","353808","429985","468926","355046","366221","415595","500559","336927","375760","393476","419834","388095","356274","419840","340169","431980","311360","301986","429905","407644","393665","492570","468192","433549","422331","427570",
"이탈리아","수입금액[천불]","천불","665370","602866","735552","688898","632275","659887","701332","583947","599688","685088","547245","622574","461177","588205","564306","544067","579325","903353","677368","580726","774986","708841","771408","746056","624977","636400","885304","692920","720147","761530","734768",
"이탈리아","무역수지[천불]","천불","-290394","-205016","-322858","-196119","-228589","-306079","-271347","-115021","-244642","-318867","-131649","-122015","-124250","-212445","-170830","-124233","-191231","-547078","-257528","-240557","-343006","-397482","-469422","-316150","-217333","-242734","-392734","-224728","-286598","-339200","-307199",
"이란","수출금액[천불]","천불","13570","12413","11101","9107","17444","13880","14674","11358","13752","13806","11411","15108","8821","11882","26599","8315","13821","5368","10241","9908","11429","13309","8804","20344","8039","8191","998","1089","4224","4625","8298",
"이란","수입금액[천불]","천불","757","421","722","426","941","255","1209","1224","1560","961","132","267","217","44","124","119","234","146","67","128","260","59","206","86","2065","800","126","146","13","126","148",
